experiment,model,n,test_mse,ood_sparse_mse,ood_structured_mse,train_seconds,snr_db,row_scaled_A_B_relative,params,r2,var_y
size_sweep,SpectralNeuralModel,16,0.0016050218837335706,3.9684960938757285e-05,5.5159573093988e-05,149.61501288414001,,,,,
size_sweep,SpectralNeuralModel,32,0.00102223118301481,0.00028285893495194614,0.0003482219181023538,160.8268060684204,,,,,
size_sweep,SpectralNeuralModel,64,0.0010922058718279004,0.0001483293017372489,0.00022813613759353757,387.8286442756653,,,,,
noise_sweep,SpectralNeuralModel,32,0.0015787611482664943,,,,40.0,,,,
noise_sweep,SpectralNeuralModel,32,0.003171558491885662,,,,30.0,,,,
noise_sweep,SpectralNeuralModel,32,0.006662791594862938,,,,20.0,,,,
noise_sweep,SpectralNeuralModel,32,0.023038210347294807,,,,10.0,,,,
noise_sweep,SpectralNeuralModel,32,0.12104491889476776,,,,0.0,,,,
untied_variant,SpectralNeuralModelUntied,32,0.0015738573856651783,,,,,0.2878369390964508,,,
baselines,HardProductOracle,32,5.482265197365166e-10,6.75310085629377e-11,6.845292388479862e-11,,,,0,,
baselines,HardProductLearnedBasis,32,1.0250578164061608e-11,1.180975673156781e-12,2.3683750273451043e-12,,,,1024,0.9999999999996804,32.07537078857422
baselines,BilinearTensor,32,0.034435711801052094,0.004216114059090614,0.007870535366237164,,,,32768,0.9989264126663403,32.07537078857422
baselines,MLPControl,32,0.2489495426416397,0.04935542121529579,0.06479056924581528,,,,156448,0.992238607488512,32.07537078857422
baselines,NonlinearEncoderControl,32,8.247986793518066,1.0017977952957153,1.8964768648147583,,,,34754,0.7428560733440956,32.07537078857422
