experiment,model,n,probe_mode,probe_num,rel_residual,scale_real,scale_imag,scale_abs,snr_db
size_sweep,SpectralNeuralModel,16,encoded,4096,0.0023944657295942307,3.771289825439453,1.3335857391357422,4.000134468078613,
size_sweep,SpectralNeuralModel,32,encoded,4096,0.003378186607733369,2.9238193035125732,-4.842014312744141,5.656308174133301,
size_sweep,SpectralNeuralModel,64,encoded,4096,0.001539490302093327,7.863072395324707,-1.4651297330856323,7.998406887054443,
noise_sweep,SpectralNeuralModel,32,encoded,4096,0.0026186788454651833,5.161287307739258,-2.311318874359131,5.655181884765625,40.0
noise_sweep,SpectralNeuralModel,32,encoded,4096,0.0078086950816214085,3.725170850753784,-4.257722854614258,5.6573052406311035,30.0
noise_sweep,SpectralNeuralModel,32,encoded,4096,0.007595579139888287,4.878268718719482,-2.8594071865081787,5.6545305252075195,20.0
noise_sweep,SpectralNeuralModel,32,encoded,4096,0.013068570755422115,2.417577028274536,-5.114948272705078,5.657505989074707,10.0
noise_sweep,SpectralNeuralModel,32,encoded,4096,0.03826349601149559,5.1817827224731445,-2.2647480964660645,5.6550822257995605,0.0
untied_variant,SpectralNeuralModelUntied,32,encoded,4096,0.32213446497917175,3.9141390323638916,-3.7001612186431885,5.38624906539917,
baselines,NonlinearEncoderControl,32,encoded,4096,1.0643199682235718,4.919921875,3.711808443069458,6.1630473136901855,
