experiment,model,n,diag_residual,dft_mean_row_residual,dft_mean_abs_corr,abs_mean,abs_std_over_mean,scaled_unitarity_error,snr_db
size_sweep,SpectralNeuralModel,16,1.9076595614286873e-07,0.0002033918740735885,0.9999999850988388,0.25,0.00022401979367714375,0.0004360263410490006,
size_sweep,SpectralNeuralModel,32,3.454609327491198e-07,0.0002288786792021824,0.9999999199062586,0.1767766922712326,0.00029440311482176185,0.0005958685651421547,
size_sweep,SpectralNeuralModel,64,1.9677558582564814e-07,0.0002644929032840082,0.9999999599531293,0.1250000149011612,0.00021598294551949948,0.0004372051334939897,
noise_sweep,SpectralNeuralModel,32,2.0776941078715083e-07,0.0002323723427402058,0.9999999590218067,0.1767767071723938,0.00022244291903916746,0.0004631686315406114,40.0
noise_sweep,SpectralNeuralModel,32,4.167048586189992e-07,0.0002881318318124215,0.9999998845160007,0.1767766922712326,0.0003288681327831,0.000666254258248955,30.0
noise_sweep,SpectralNeuralModel,32,8.843769971900173e-08,0.00011885247634779716,0.9999999888241291,0.1767767071723938,0.0001470274874009192,0.00030813345802016556,20.0
noise_sweep,SpectralNeuralModel,32,2.2574066114167124e-06,0.0003751007930787864,0.9999994989484549,0.17677664756774902,0.0008167094201780856,0.001437192433513701,10.0
noise_sweep,SpectralNeuralModel,32,2.1572802966218774e-07,0.00019401043608979762,0.9999999590218067,0.1767767071723938,0.0002216435968875885,0.00045668971142731607,0.0
untied_variant,SpectralNeuralModelUntied,32,6.727358050628851e-07,0.00027453807691557586,0.9999998658895493,0.1767766773700714,0.0003606521349865943,0.0008264102507382631,
baselines,HardProductLearnedBasis,32,2.8740096600365103e-13,1.7244640417857227e-06,0.9999999664723873,1.0,6.311042000106681e-08,1.3432492096399073e-07,
