experiment,model,n,test_mse,ood_sparse_mse,ood_structured_mse,train_seconds,snr_db,row_scaled_A_B_relative,params,r2,var_y
size_sweep,SpectralNeuralModel,16,16.27468490600586,2.0541672706604004,3.802218437194824,23.961347579956055,,,,,
size_sweep,SpectralNeuralModel,32,31.921648025512695,4.010213851928711,7.400330543518066,24.821555852890015,,,,,
size_sweep,SpectralNeuralModel,64,64.02490234375,7.996481895446777,14.397902488708496,50.848369121551514,,,,,
noise_sweep,SpectralNeuralModel,32,32.098854064941406,,,,40.0,,,,
noise_sweep,SpectralNeuralModel,32,32.09053421020508,,,,30.0,,,,
noise_sweep,SpectralNeuralModel,32,32.10332107543945,,,,20.0,,,,
noise_sweep,SpectralNeuralModel,32,32.099098205566406,,,,10.0,,,,
noise_sweep,SpectralNeuralModel,32,32.09721755981445,,,,0.0,,,,
untied_variant,SpectralNeuralModelUntied,32,32.1015739440918,,,,,0.9843258261680603,,,
baselines,HardProductOracle,32,5.482265197365166e-10,6.75310085629377e-11,6.845292388479862e-11,,,,0,,
baselines,HardProductLearnedBasis,32,1.0250578164061608e-11,1.180975673156781e-12,2.3683750273451043e-12,,,,1024,0.9999999999996804,32.07537078857422
baselines,BilinearTensor,32,0.034435711801052094,0.004216114059090614,0.007870535366237164,,,,32768,0.9989264126663403,32.07537078857422
baselines,MLPControl,32,0.2489495426416397,0.04935542121529579,0.06479056924581528,,,,156448,0.992238607488512,32.07537078857422
baselines,NonlinearEncoderControl,32,8.247986793518066,1.0017977952957153,1.8964768648147583,,,,34754,0.7428560733440956,32.07537078857422
