experiment,model,n,probe_mode,probe_num,rel_residual,scale_real,scale_imag,scale_abs,snr_db
size_sweep,SpectralNeuralModel,16,encoded,4096,179.84616088867188,0.0005751171265728772,0.000550988654140383,0.000796459789853543,
size_sweep,SpectralNeuralModel,32,encoded,4096,24.42630386352539,-0.002254731021821499,-0.005772527307271957,0.0061972481198608875,
size_sweep,SpectralNeuralModel,64,encoded,4096,59.17984390258789,-0.0005955041269771755,-0.0024260138161480427,0.002498032758012414,
noise_sweep,SpectralNeuralModel,32,encoded,4096,79.63336944580078,0.0010578088695183396,-0.0014902607072144747,0.0018275219481438398,40.0
noise_sweep,SpectralNeuralModel,32,encoded,4096,27.73605728149414,-0.0012670437572523952,-0.005342851858586073,0.005491035059094429,30.0
noise_sweep,SpectralNeuralModel,32,encoded,4096,33.614646911621094,-0.002881739754229784,-0.003349397797137499,0.004418471362441778,20.0
noise_sweep,SpectralNeuralModel,32,encoded,4096,36.36396789550781,-0.001969454577192664,-0.003596368245780468,0.004100318998098373,10.0
noise_sweep,SpectralNeuralModel,32,encoded,4096,46.12253952026367,0.0012726415880024433,-0.0029213414527475834,0.0031865111086517572,0.0
untied_variant,SpectralNeuralModelUntied,32,encoded,4096,24.156301498413086,-0.005708797834813595,-0.002253057900816202,0.006137315649539232,
baselines,NonlinearEncoderControl,32,encoded,4096,1.0643199682235718,4.919921875,3.711808443069458,6.1630473136901855,
