experiment,model,n,test_mse,ood_sparse_mse,ood_structured_mse,train_seconds,snr_db,row_scaled_A_B_relative,params,r2,var_y
size_sweep,SpectralNeuralModel,16,0.010444233193993568,0.0021563812624663115,0.0029696724377572536,115.06110668182373,,,,,
size_sweep,SpectralNeuralModel,32,0.038962073624134064,0.00731666712090373,0.011111906729638577,121.72207307815552,,,,,
size_sweep,SpectralNeuralModel,64,3.1050779819488525,0.4127027094364166,0.6899826526641846,306.85863399505615,,,,,
noise_sweep,SpectralNeuralModel,32,0.03372770547866821,,,,40.0,,,,
noise_sweep,SpectralNeuralModel,32,0.04211461916565895,,,,30.0,,,,
noise_sweep,SpectralNeuralModel,32,1.7193775177001953,,,,20.0,,,,
noise_sweep,SpectralNeuralModel,32,0.169584721326828,,,,10.0,,,,
noise_sweep,SpectralNeuralModel,32,1.2122859954833984,,,,0.0,,,,
untied_variant,SpectralNeuralModelUntied,32,1.6424140930175781,,,,,0.634848415851593,,,
baselines,HardProductOracle,32,5.482265197365166e-10,6.75310085629377e-11,6.845292388479862e-11,,,,0,,
baselines,HardProductLearnedBasis,32,1.0250578164061608e-11,1.180975673156781e-12,2.3683750273451043e-12,,,,1024,0.9999999999996804,32.07537078857422
baselines,BilinearTensor,32,0.034435711801052094,0.004216114059090614,0.007870535366237164,,,,32768,0.9989264126663403,32.07537078857422
baselines,MLPControl,32,0.24956397712230682,0.0483536459505558,0.0638972818851471,,,,156448,0.9922194515297325,32.07537078857422
baselines,NonlinearEncoderControl,32,4.179352760314941,0.5196897387504578,0.9233976006507874,,,,34754,0.8697021216726294,32.07537078857422
