experiment,model,n,probe_mode,probe_num,rel_residual,scale_real,scale_imag,scale_abs,snr_db
size_sweep,SpectralNeuralModel,16,encoded,4096,1.3887169361114502,2.218144178390503,-0.5112729072570801,2.2763047218322754,
size_sweep,SpectralNeuralModel,32,encoded,4096,1.5480384826660156,2.9208297729492188,-0.7462435364723206,3.0146520137786865,
size_sweep,SpectralNeuralModel,64,encoded,4096,1.0953190326690674,4.897300720214844,-1.0184205770492554,5.002072811126709,
noise_sweep,SpectralNeuralModel,32,encoded,4096,1.5456663370132446,2.935828685760498,-0.6951477527618408,3.017005205154419,40.0
noise_sweep,SpectralNeuralModel,32,encoded,4096,1.546243667602539,2.9595468044281006,-0.7424145936965942,3.0512452125549316,30.0
noise_sweep,SpectralNeuralModel,32,encoded,4096,0.9883213639259338,3.5284950733184814,-0.839100182056427,3.626894950866699,20.0
noise_sweep,SpectralNeuralModel,32,encoded,4096,1.4218051433563232,3.1973085403442383,-0.567104697227478,3.2472126483917236,10.0
noise_sweep,SpectralNeuralModel,32,encoded,4096,1.2657160758972168,3.402348041534424,-0.5509132742881775,3.4466617107391357,0.0
untied_variant,SpectralNeuralModelUntied,32,encoded,4096,1.5336849689483643,2.653075695037842,-1.301857829093933,2.9552741050720215,
baselines,NonlinearEncoderControl,32,encoded,4096,7.449646949768066,0.030011262744665146,-0.9727118015289307,0.9731746912002563,
